Year,Seaport,Country,Region,Region (with China),"Reclaimed area (km^2, raw)",TEU (millions)
2013,Manila,Philippines,Asia,Asia,2.06,3.77
2013,Mundra,India,Asia,Asia,14.56,2.39
2013,Nagoya,Japan,Asia,Asia,5.88,2.71
2013,Ningbo-Zhoushan,China,Asia,China,28.37,17.35
2013,Piraeus,Greece,Mediterranean,Mediterranean,1.15,3.16
2013,Qingdao,China,Asia,China,24.79,15.52
2013,Rizhao,China,Asia,China,8.57,2.03
2013,Rotterdam,Netherlands,Northern Europe,Northern Europe,21.18,11.62
2013,Salalah,Oman,Middle East,Middle East,2.81,3.34
2013,Shanghai,China,Asia,China,50.79,33.6
2013,Shenzhen,China,Asia,China,31.21,23.28
2013,Singapore,Singapore,Asia,Asia,49.64,32.2
2013,Sydney,Australia,Oceania,Oceania,1.37,2.15
2013,Tanger Med,Morocco,Mediterranean,Mediterranean,2.02,2.56
2013,Tangshan,China,Asia,China,44.38,NaN
2013,Tanjung Pelepas,Malaysia,Asia,Asia,3.89,7.63
2013,Tanjung Perak,Indonesia,Asia,Asia,1.24,6.59
2013,Tanjung Priok,Indonesia,Asia,Asia,0.78,6.59
2013,Tianjin,China,Asia,China,131.15,13
2013,Tokyo,Japan,Asia,Asia,10.82,4.86
2013,Valencia,Spain,Mediterranean,Mediterranean,4.81,4.33
2013,Xiamen,China,Asia,China,3.92,8.01
2013,Yantai,China,Asia,China,3.31,2.15
2013,Yingkou,China,Asia,China,39.01,5.3
2014,Algeciras,Spain,Mediterranean,Mediterranean,2.83,4.55
2014,Barcelona,Spain,Mediterranean,Mediterranean,3.53,1.89
2014,Busan,South Korea,Asia,Asia,16.24,18.63
2014,Colombo,Sri Lanka,Asia,Asia,1.5,4.9
2014,Dalian,China,Asia,China,18.06,9.4
2014,Dubai,UAE,Middle East,Middle East,3.41,15.24
2014,Felixstowe,UK,Northern Europe,Northern Europe,1.87,4.1
2014,Genoa,Italy,Mediterranean,Mediterranean,1.5,2.17
2014,Guangzhou,China,Asia,China,27.41,16.62
2014,Hong Kong,China,Asia,China,3.65,22.28
2014,Incheon,South Korea,Asia,Asia,11.75,2.35
2014,Jawaharlal Nehru,India,Asia,Asia,1.6,4.45
2014,Jeddah,Saudi Arabia,Middle East,Middle East,4.74,4.21
2014,Karachi,Pakistan,Asia,Asia,4.97,1.72
2014,Kobe,Japan,Asia,Asia,7.37,3.61
2014,Laem Chabang,Thailand,Asia,Asia,8.39,6.53
2014,Le Havre,France,Northern Europe,Northern Europe,2.7,2.55
2014,Lianyungang,China,Asia,China,35.77,5
2014,Los Angeles,USA,North America,North America,2.14,8.34
2014,Manila,Philippines,Asia,Asia,2.15,3.81
2014,Mundra,India,Asia,Asia,15.31,2.72
2014,Nagoya,Japan,Asia,Asia,6.25,2.73
2014,Ningbo-Zhoushan,China,Asia,China,25.54,19.43
2014,Piraeus,Greece,Mediterranean,Mediterranean,1.04,3.58
2014,Qingdao,China,Asia,China,26.6,16.62
2014,Rizhao,China,Asia,China,10.26,2.42
2014,Rotterdam,Netherlands,Northern Europe,Northern Europe,21.4,12.29
2014,Salalah,Oman,Middle East,Middle East,2.95,3.03
2014,Shanghai,China,Asia,China,48.53,35.3
2014,Shenzhen,China,Asia,China,31.1,24.03
2014,Singapore,Singapore,Asia,Asia,50.67,33.8
2014,Sydney,Australia,Oceania,Oceania,1.31,2.51
2014,Tanger Med,Morocco,Mediterranean,Mediterranean,1.98,3.08
2014,Tangshan,China,Asia,China,44.83,1.1
2014,Tanjung Pelepas,Malaysia,Asia,Asia,4.13,8.52
2014,Tanjung Perak,Indonesia,Asia,Asia,1.61,5.9
2014,Tanjung Priok,Indonesia,Asia,Asia,0.88,5.9
2014,Tianjin,China,Asia,China,167.94,14
2014,Tokyo,Japan,Asia,Asia,11.34,4.89
2014,Valencia,Spain,Mediterranean,Mediterranean,4.64,4.44
2014,Xiamen,China,Asia,China,4.08,8.57
2014,Yantai,China,Asia,China,3.17,2.35
2014,Yingkou,China,Asia,China,43.6,5.61
2015,Algeciras,Spain,Mediterranean,Mediterranean,2.78,4.51
2015,Barcelona,Spain,Mediterranean,Mediterranean,3.6,1.96
2015,Busan,South Korea,Asia,Asia,16.19,19.46
2015,Colombo,Sri Lanka,Asia,Asia,1.33,5.18
2015,Dalian,China,Asia,China,18.23,9.45
2015,Dubai,UAE,Middle East,Middle East,3.74,15.59
2015,Felixstowe,UK,Northern Europe,Northern Europe,1.87,3.98
2015,Genoa,Italy,Mediterranean,Mediterranean,1.4,2.24
2015,Guangzhou,China,Asia,China,30.33,17.64
2015,Hong Kong,China,Asia,China,3.05,20.11
2015,Incheon,South Korea,Asia,Asia,10.83,2.45
2015,Jawaharlal Nehru,India,Asia,Asia,1.33,4.48
2015,Jeddah,Saudi Arabia,Middle East,Middle East,4.35,4.18
2015,Karachi,Pakistan,Asia,Asia,4.38,1.96
2015,Kobe,Japan,Asia,Asia,7.55,2.7
2015,Laem Chabang,Thailand,Asia,Asia,8.46,6.78
2015,Le Havre,France,Northern Europe,Northern Europe,2.58,2.56
2015,Lianyungang,China,Asia,China,33.02,5
2015,Los Angeles,USA,North America,North America,1.99,8.16
2015,Manila,Philippines,Asia,Asia,1.98,3.97
2015,Mundra,India,Asia,Asia,15.28,2.85
2015,Nagoya,Japan,Asia,Asia,6.37,2.63
2015,Ningbo-Zhoushan,China,Asia,China,26.88,26.62
2015,Piraeus,Greece,Mediterranean,Mediterranean,0.94,3.33
2015,Qingdao,China,Asia,China,26.22,17.51
2015,Rizhao,China,Asia,China,8.2,2.81
2015,Rotterdam,Netherlands,Northern Europe,Northern Europe,20.39,12.23
2015,Salalah,Oman,Middle East,Middle East,2.63,2.56
2015,Shanghai,China,Asia,China,49.41,36.5
2015,Shenzhen,China,Asia,China,32.46,24.2
2015,Singapore,Singapore,Asia,Asia,47.21,30.9
2015,Sydney,Australia,Oceania,Oceania,1.4,2.3
2015,Tanger Med,Morocco,Mediterranean,Mediterranean,0.13,2.96
2015,Tangshan,China,Asia,China,45.45,1.52
2015,Tanjung Pelepas,Malaysia,Asia,Asia,3.36,9.12
2015,Tanjung Perak,Indonesia,Asia,Asia,1.71,5.2
2015,Tanjung Priok,Indonesia,Asia,Asia,0.79,5.2
2015,Tianjin,China,Asia,China,183.25,14.1
2015,Tokyo,Japan,Asia,Asia,11.48,4.62
2015,Valencia,Spain,Mediterranean,Mediterranean,4.76,4.61
2015,Xiamen,China,Asia,China,3.97,9.18
2015,Yantai,China,Asia,China,3.13,2.45
2015,Yingkou,China,Asia,China,47.64,5.92
2016,Algeciras,Spain,Mediterranean,Mediterranean,2.87,4.76
