Year,Seaport,Country,Region,"Reclaimed area (km^2, raw)","Reclaimed area (km^2, smoothed)"
1991,Tanjung Priok,Indonesia,Asia,0.57,0.57
1991,Tanjung Pelepas,Malaysia,Asia,1.79,1.79
1991,Tanjung Perak,Indonesia,Asia,0,0
1991,Valencia,Spain,Mediterranean,1.32,1.32
1991,Xiamen,China,Asia,0.22,0.22
1991,Yingkou,China,Asia,9.8,9.53
1991,Yantai,China,Asia,0.26,0.26
1991,Yokohama,Japan,Asia,1.15,1.13
1991,Zhuhai,China,Asia,1.56,1.46
1992,Abu Dhabi,UAE,Middle East,14.53,14.53
1992,Alexandria,Egypt,Middle East,0.52,0.52
1992,Algeciras,Spain,Mediterranean,0.68,0.68
1992,Barcelona,Spain,Mediterranean,0,0
1992,Busan,South Korea,Asia,5.02,5.6
1992,Cartagena,Colombia,Central & South America,0.89,0.89
1992,Colombo,Sri Lanka,Asia,0.42,0.33
1992,Dalian,China,Asia,0.68,0.79
1992,Dubai,UAE,Middle East,1.15,1.15
1992,Durban,South Africa,Africa,0.44,0.43
1992,Felixstowe,UK,Northern Europe,3.69,3.69
1992,Genoa,Italy,Mediterranean,0,0
1992,Guangzhou,China,Asia,9.57,9.57
1992,Yeosu Gwangyang,South Korea,Asia,0.51,0.38
1992,Hai Phong,Vietnam,Asia,3.15,3.63
1992,Haikou,China,Asia,2.37,2.37
1992,Hong Kong,China,Asia,1.29,1.29
1992,Incheon,South Korea,Asia,0.92,0.92
1992,Jeddah,Saudi Arabia,Middle East,2.43,2.46
1992,Jiaxing,China,Asia,4.79,4.1
1992,Jinzhou,China,Asia,0.33,0.33
1992,Kaohsiung,Taiwan,Asia,10.31,10.31
1992,Karachi,Pakistan,Asia,3.93,3.93
1992,Port Klang,Malaysia,Asia,0.27,0.43
1992,Dammam,Saudi Arabia,Middle East,1.06,1.01
1992,King Abdullah,Saudi Arabia,Middle East,0,0
1992,Kobe,Japan,Asia,1.78,1.78
1992,Laem Chabang,Thailand,Asia,5.28,5.28
1992,Le Havre,France,Northern Europe,1.32,1.32
