Year,Seaport,Country,Region,"Reclaimed area (km^2, raw)"
1992,Laem Chabang,Thailand,Asia,5.82
1992,Le Havre,France,Northern Europe,NaN
1992,Lianyungang,China,Asia,9.67
1992,Lome,Togo,Africa,NaN
1992,Los Angeles,USA,North America,0.7
1992,Manila,Philippines,Asia,1.12
1992,Manzanillo,Mexico,North America,0.09
1992,Jawaharlal Nehru,India,Asia,0.62
1992,Mundra,India,Asia,4.15
1992,Nagoya,Japan,Asia,3.09
1992,Ningbo-Zhoushan,China,Asia,13.02
1992,Osaka,Japan,Asia,1.49
1992,Piraeus,Greece,Mediterranean,NaN
1992,Qingdao,China,Asia,3.47
1992,Qinzhou,China,Asia,0.4
1992,Quanzhou,China,Asia,0.15
1992,Rizhao,China,Asia,0.96
1992,Rotterdam,Netherlands,Northern Europe,NaN
1992,Said,Egypt,Middle East,NaN
1992,Salalah,Oman,Middle East,0.28
1992,Shanghai,China,Asia,15.76
1992,Shenzhen,China,Asia,4.14
1992,Singapore,Singapore,Asia,9.42
1992,Sydney,Australia,Oceania,0.22
1992,Taichung,Taiwan,Asia,17.51
1992,Taicang,China,Asia,6.75
1992,Tianjin,China,Asia,10.83
1992,Tangshan,China,Asia,18.9
1992,Tanger Med,Morocco,Mediterranean,NaN
1992,Tokyo,Japan,Asia,6.07
1992,Tanjung Priok,Indonesia,Asia,0.39
1992,Tanjung Pelepas,Malaysia,Asia,1.25
1992,Tanjung Perak,Indonesia,Asia,NaN
1992,Valencia,Spain,Mediterranean,NaN
1992,Xiamen,China,Asia,0.15
1992,Yingkou,China,Asia,1.33
1992,Yantai,China,Asia,0.28
1992,Yokohama,Japan,Asia,1.21
1992,Zhuhai,China,Asia,0.65
1993,Abu Dhabi,UAE,Middle East,16.82
1993,Alexandria,Egypt,Middle East,NaN
1993,Algeciras,Spain,Mediterranean,NaN
1993,Barcelona,Spain,Mediterranean,NaN
1993,Busan,South Korea,Asia,1.52
1993,Cartagena,Colombia,Central & South America,NaN
1993,Colombo,Sri Lanka,Asia,0.01
1993,Dalian,China,Asia,0.8
1993,Dubai,UAE,Middle East,1.06
1993,Felixstowe,UK,Northern Europe,NaN
1993,Genoa,Italy,Mediterranean,NaN
1993,Guangzhou,China,Asia,1.91
1993,Yeosu Gwangyang,South Korea,Asia,0.37
1993,Hai Phong,Vietnam,Asia,3.51
1993,Haikou,China,Asia,NaN
1993,Hong Kong,China,Asia,0.48
1993,Incheon,South Korea,Asia,2.47
1993,Jeddah,Saudi Arabia,Middle East,NaN
1993,Jiaxing,China,Asia,4.23
1993,Jinzhou,China,Asia,NaN
1993,Kaohsiung,Taiwan,Asia,10.37
1993,Karachi,Pakistan,Asia,2.04
1993,Port Klang,Malaysia,Asia,NaN
1993,Dammam,Saudi Arabia,Middle East,0.61
1993,King Abdullah,Saudi Arabia,Middle East,NaN
1993,Kobe,Japan,Asia,2.26
1993,Laem Chabang,Thailand,Asia,NaN
1993,Le Havre,France,Northern Europe,NaN
1993,Lianyungang,China,Asia,4.17
1993,Lome,Togo,Africa,NaN
1993,Los Angeles,USA,North America,0.76
1993,Manila,Philippines,Asia,NaN
1993,Manzanillo,Mexico,North America,1.91
1993,Jawaharlal Nehru,India,Asia,1.02
1993,Mundra,India,Asia,3.99
1993,Nagoya,Japan,Asia,3.46
1993,Ningbo-Zhoushan,China,Asia,11.67
1993,Osaka,Japan,Asia,1.59
1993,Piraeus,Greece,Mediterranean,NaN
1993,Qingdao,China,Asia,3.44
1993,Qinzhou,China,Asia,0.76
